,record_type,school_name,district_name,county_name,grade_11_enroll,grade_11_takers,grade_11_erw_bm_num,grade_11_erw_bm_pct,grade_11_maths_bm_num,grade_11_maths_bm_pct,grade_11_total_bm_num,grade_11_total_bm_pct,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
45,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,S,Tamalpais High,Tamalpais Union High,Marin,391.0,176.0,173.0,98.3,160.0,90.91,160.0,90.91,376.0,149.0,138.0,92.62,121.0,81.21,119.0,79.87
48,S,River Springs Charter,Riverside County Office of Education,Riverside,267.0,17.0,15.0,88.24,9.0,52.94,9.0,52.94,213.0,33.0,30.0,90.91,22.0,66.67,22.0,66.67
50,S,San Diego Business/Leadership,San Diego Unified,San Diego,139.0,17.0,11.0,64.71,3.0,17.65,3.0,17.65,100.0,18.0,8.0,44.44,2.0,11.11,1.0,5.56
51,S,Kearny Digital Media & Design,San Diego Unified,San Diego,100.0,39.0,32.0,82.05,25.0,64.1,23.0,58.97,86.0,25.0,20.0,80.0,11.0,44.0,11.0,44.0
52,S,Venture Academy,San Joaquin County Office of Education,San Joaquin,242.0,34.0,24.0,70.59,14.0,41.18,14.0,41.18,266.0,77.0,47.0,61.04,18.0,23.38,18.0,23.38
54,S,Heritage High,Liberty Union High,Contra Costa,590.0,222.0,202.0,90.99,181.0,81.53,174.0,78.38,574.0,244.0,212.0,86.89,158.0,64.75,156.0,63.93
55,S,Tranquillity High,Golden Plains Unified,Fresno,105.0,104.0,19.0,18.27,1.0,0.96,1.0,0.96,120.0,27.0,10.0,37.04,0.0,0.0,0.0,0.0
56,S,Sierra High,Sierra Unified,Fresno,81.0,23.0,19.0,82.61,15.0,65.22,14.0,60.87,91.0,28.0,26.0,92.86,15.0,53.57,15.0,53.57
58,S,Lakeside High,Lake Elsinore Unified,Riverside,421.0,140.0,99.0,70.71,59.0,42.14,54.0,38.57,387.0,112.0,68.0,60.71,41.0,36.61,36.0,32.14
59,S,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,691.0,623.0,510.0,81.86,356.0,57.14,339.0,54.41,695.0,556.0,458.0,82.37,362.0,65.11,352.0,63.31
60,S,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,41.0,39.0,4.0,10.26,0.0,0.0,0.0,0.0,118.0,79.0,6.0,7.59,0.0,0.0,0.0,0.0
61,S,Chino High,Chino Valley Unified,San Bernardino,462.0,383.0,191.0,49.87,97.0,25.33,87.0,22.72,432.0,354.0,174.0,49.15,84.0,23.73,77.0,21.75
