,record_type,school_name,district_name,county_name,grade_11_enroll,grade_11_takers,grade_11_erw_bm_num,grade_11_erw_bm_pct,grade_11_maths_bm_num,grade_11_maths_bm_pct,grade_11_total_bm_num,grade_11_total_bm_pct,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
486,S,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Los Angeles Unified,Los Angeles,83.0,70.0,26.0,37.14,7.0,10.0,6.0,8.57,79.0,35.0,17.0,48.57,3.0,8.57,3.0,8.57
487,S,Palm Desert High,Desert Sands Unified,Riverside,463.0,425.0,315.0,74.12,185.0,43.53,180.0,42.35,435.0,136.0,117.0,86.03,89.0,65.44,87.0,63.97
489,S,Arlington High,Riverside Unified,Riverside,477.0,158.0,111.0,70.25,75.0,47.47,72.0,45.57,434.0,192.0,116.0,60.42,59.0,30.73,55.0,28.65
491,S,William C. Overfelt High,East Side Union High,Santa Clara,345.0,260.0,133.0,51.15,82.0,31.54,73.0,28.08,339.0,133.0,67.0,50.38,42.0,31.58,33.0,24.81
492,S,Harmony Magnet Academy,Porterville Unified,Tulare,130.0,52.0,45.0,86.54,36.0,69.23,34.0,65.38,109.0,75.0,55.0,73.33,39.0,52.0,36.0,48.0
493,S,Ann Sobrato High,Morgan Hill Unified,Santa Clara,362.0,160.0,146.0,91.25,132.0,82.5,127.0,79.38,292.0,163.0,141.0,86.5,121.0,74.23,114.0,69.94
496,S,Valley Center Prep,Valley Center-Pauma Unified,San Diego,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,S,San Jose High,San Jose Unified,Santa Clara,273.0,241.0,93.0,38.59,40.0,16.6,35.0,14.52,234.0,35.0,17.0,48.57,11.0,31.43,11.0,31.43
502,S,City Arts and Tech High,San Francisco Unified,San Francisco,81.0,48.0,16.0,33.33,10.0,20.83,6.0,12.5,67.0,41.0,15.0,36.59,8.0,19.51,6.0,14.63
504,S,Everest Public High,Sequoia Union High,San Mateo,94.0,96.0,44.0,45.83,29.0,30.21,27.0,28.13,86.0,42.0,21.0,50.0,9.0,21.43,5.0,11.9
505,S,East Palo Alto Academy,Sequoia Union High,San Mateo,92.0,35.0,21.0,60.0,6.0,17.14,6.0,17.14,65.0,33.0,10.0,30.3,5.0,15.15,4.0,12.12
506,S,Menlo-Atherton High,Sequoia Union High,San Mateo,607.0,317.0,286.0,90.22,272.0,85.8,264.0,83.28,644.0,194.0,154.0,79.38,134.0,69.07,130.0,67.01
507,S,Joseph A. Gregori High,Modesto City High,Stanislaus,563.0,174.0,149.0,85.63,114.0,65.52,111.0,63.79,539.0,193.0,149.0,77.2,93.0,48.19,88.0,45.6
508,S,Moorpark High,Moorpark Unified,Ventura,480.0,134.0,129.0,96.27,117.0,87.31,115.0,85.82,457.0,121.0,105.0,86.78,88.0,72.73,85.0,70.25
509,S,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,105.0,84.0,28.0,33.33,18.0,21.43,17.0,20.24,84.0,63.0,12.0,19.05,3.0,4.76,3.0,4.76
510,S,Santa Monica High,Santa Monica-Malibu Unified,Los Angeles,661.0,263.0,242.0,92.02,217.0,82.51,213.0,80.99,715.0,287.0,248.0,86.41,197.0,68.64,195.0,67.94
512,S,Elite Academic Academy - Mountain Empire,Mountain Empire Unified,San Diego,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,S,Watsonville High,Pajaro Valley Unified,Santa Cruz,490.0,146.0,93.0,63.7,64.0,43.84,58.0,39.73,455.0,134.0,66.0,49.25,37.0,27.61,32.0,23.88
514,S,Yuba City High,Yuba City Unified,Sutter,417.0,86.0,63.0,73.26,56.0,65.12,53.0,61.63,394.0,77.0,66.0,85.71,40.0,51.95,40.0,51.95
516,S,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,134.0,86.0,56.0,65.12,21.0,24.42,21.0,24.42,117.0,62.0,39.0,62.9,22.0,35.48,21.0,33.87
518,S,Kearny SCT,San Diego Unified,San Diego,79.0,34.0,26.0,76.47,16.0,47.06,16.0,47.06,77.0,33.0,23.0,69.7,16.0,48.48,15.0,45.45
519,S,Lompoc High,Lompoc Unified,Santa Barbara,386.0,299.0,138.0,46.15,66.0,22.07,58.0,19.4,342.0,19.0,14.0,73.68,11.0,57.89,11.0,57.89
520,S,eCademy Charter at Crane,Turlock Unified,Stanislaus,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,S,Fusion Charter,Turlock Unified,Stanislaus,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,S,Glendale High,Glendale Unified,Los Angeles,558.0,140.0,125.0,89.29,104.0,74.29,99.0,70.71,547.0,177.0,144.0,81.36,114.0,64.41,108.0,61.02
526,S,Centennial High,Compton Unified,Los Angeles,235.0,182.0,52.0,28.57,18.0,9.89,17.0,9.34,214.0,46.0,18.0,39.13,3.0,6.52,3.0,6.52
527,S,OCSA,Santa Ana Unified,Orange,421.0,197.0,194.0,98.48,178.0,90.36,177.0,89.85,379.0,152.0,148.0,97.37,124.0,81.58,123.0,80.92
528,S,Santa Ana High,Santa Ana Unified,Orange,758.0,208.0,102.0,49.04,70.0,33.65,56.0,26.92,648.0,551.0,136.0,24.68,74.0,13.43,58.0,10.53
530,S,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,607.0,286.0,267.0,93.36,225.0,78.67,223.0,77.97,482.0,218.0,198.0,90.83,156.0,71.56,155.0,71.1
531,S,Parlier High,Parlier Unified,Fresno,221.0,66.0,29.0,43.94,13.0,19.7,12.0,18.18,201.0,51.0,23.0,45.1,14.0,27.45,11.0,21.57
532,S,Ambassador Phillip V. Sanchez II Public Charter,Raisin City Elementary,Fresno,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,S,Sanger High,Sanger Unified,Fresno,712.0,215.0,157.0,73.02,132.0,61.4,116.0,53.95,734.0,320.0,199.0,62.19,120.0,37.5,110.0,34.38
535,S,Gardena Senior High,Los Angeles Unified,Los Angeles,313.0,299.0,102.0,34.11,36.0,12.04,35.0,11.71,279.0,84.0,40.0,47.62,16.0,19.05,11.0,13.1
536,S,David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,102.0,96.0,23.0,23.96,5.0,5.21,4.0,4.17,87.0,27.0,7.0,25.93,6.0,22.22,5.0,18.52
538,S,San Jacinto Valley Academy,San Jacinto Unified,Riverside,71.0,71.0,41.0,57.75,21.0,29.58,18.0,25.35,66.0,65.0,36.0,55.38,17.0,26.15,16.0,24.62
539,S,West Shores High,Coachella Valley Unified,Riverside,81.0,35.0,27.0,77.14,11.0,31.43,11.0,31.43,63.0,31.0,15.0,48.39,5.0,16.13,4.0,12.9
540,S,Barstow High,Barstow Unified,San Bernardino,316.0,53.0,40.0,75.47,37.0,69.81,31.0,58.49,319.0,44.0,29.0,65.91,19.0,43.18,19.0,43.18
541,S,Piedmont High,Piedmont City Unified,Alameda,184.0,95.0,95.0,100.0,94.0,98.95,94.0,98.95,205.0,64.0,62.0,96.88,58.0,90.63,57.0,89.06
542,S,South Hills High,Covina-Valley Unified,Los Angeles,390.0,365.0,218.0,59.73,138.0,37.81,125.0,34.25,401.0,381.0,194.0,50.92,135.0,35.43,113.0,29.66
544,S,Cajon High,San Bernardino City Unified,San Bernardino,661.0,608.0,321.0,52.8,159.0,26.15,152.0,25.0,631.0,232.0,147.0,63.36,72.0,31.03,69.0,29.74
545,S,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Los Angeles Unified,Los Angeles,87.0,91.0,41.0,45.05,19.0,20.88,17.0,18.68,108.0,47.0,22.0,46.81,10.0,21.28,9.0,19.15
546,S,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,Los Angeles Unified,Los Angeles,85.0,76.0,16.0,21.05,3.0,3.95,3.0,3.95,62.0,23.0,5.0,21.74,1.0,4.35,1.0,4.35
547,S,Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles Unified,Los Angeles,101.0,91.0,22.0,24.18,13.0,14.29,11.0,12.09,103.0,23.0,9.0,39.13,9.0,39.13,7.0,30.43
548,S,Performing Arts Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,125.0,103.0,34.0,33.01,14.0,13.59,13.0,12.62,125.0,37.0,10.0,27.03,3.0,8.11,3.0,8.11
549,S,Newport Harbor High,Newport-Mesa Unified,Orange,573.0,140.0,124.0,88.57,106.0,75.71,103.0,73.57,548.0,127.0,112.0,88.19,83.0,65.35,82.0,64.57
550,S,Mesa Verde High,San Juan Unified,Sacramento,212.0,95.0,67.0,70.53,38.0,40.0,32.0,33.68,211.0,62.0,41.0,66.13,22.0,35.48,20.0,32.26
551,S,Mira Loma High,San Juan Unified,Sacramento,467.0,150.0,144.0,96.0,139.0,92.67,137.0,91.33,454.0,150.0,141.0,94.0,135.0,90.0,133.0,88.67
552,S,La Jolla High,San Diego Unified,San Diego,343.0,167.0,161.0,96.41,138.0,82.63,138.0,82.63,339.0,139.0,124.0,89.21,110.0,79.14,108.0,77.7
553,S,Amador Valley High,Pleasanton Unified,Alameda,623.0,414.0,409.0,98.79,391.0,94.44,387.0,93.48,654.0,259.0,244.0,94.21,218.0,84.17,217.0,83.78
554,S,Robert F. Kennedy High,Delano Joint Union High,Kern,264.0,114.0,74.0,64.91,48.0,42.11,42.0,36.84,304.0,113.0,61.0,53.98,40.0,35.4,34.0,30.09
555,S,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles Unified,Los Angeles,169.0,159.0,73.0,45.91,36.0,22.64,32.0,20.13,144.0,64.0,34.0,53.13,10.0,15.63,9.0,14.06
557,S,North Tahoe High,Tahoe-Truckee Unified,Placer,107.0,56.0,45.0,80.36,43.0,76.79,39.0,69.64,103.0,39.0,32.0,82.05,30.0,76.92,28.0,71.79
558,S,Cosumnes Oaks High,Elk Grove Unified,Sacramento,596.0,278.0,258.0,92.81,240.0,86.33,235.0,84.53,580.0,285.0,250.0,87.72,198.0,69.47,191.0,67.02
559,S,Inglewood High,Inglewood Unified,Los Angeles,206.0,27.0,10.0,37.04,3.0,11.11,1.0,3.7,176.0,76.0,26.0,34.21,3.0,3.95,3.0,3.95
560,S,Elite Academic Academy - Lucerne,Lucerne Valley Unified,San Bernardino,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,S,Pacific Boulevard,Los Angeles Unified,Los Angeles,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,S,Yucca Valley High,Morongo Unified,San Bernardino,307.0,40.0,37.0,92.5,24.0,60.0,24.0,60.0,314.0,73.0,58.0,79.45,34.0,46.58,34.0,46.58
567,S,Centinela Valley Independent Study,Centinela Valley Union High,Los Angeles,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,S,Lawndale High,Centinela Valley Union High,Los Angeles,560.0,201.0,113.0,56.22,65.0,32.34,58.0,28.86,553.0,220.0,107.0,48.64,55.0,25.0,46.0,20.91
571,S,Orange Cove High,Kings Canyon Joint Unified,Fresno,142.0,65.0,31.0,47.69,7.0,10.77,5.0,7.69,122.0,46.0,18.0,39.13,7.0,15.22,7.0,15.22
574,S,Carson Senior High,Los Angeles Unified,Los Angeles,336.0,299.0,139.0,46.49,59.0,19.73,54.0,18.06,334.0,92.0,46.0,50.0,23.0,25.0,20.0,21.74
575,S,Walnut High,Walnut Valley Unified,Los Angeles,591.0,315.0,307.0,97.46,297.0,94.29,292.0,92.7,666.0,387.0,348.0,89.92,316.0,81.65,303.0,78.29
576,S,El Toro High,Saddleback Valley Unified,Orange,600.0,230.0,215.0,93.48,194.0,84.35,190.0,82.61,559.0,189.0,160.0,84.66,126.0,66.67,120.0,63.49
577,S,Ramona High,Riverside Unified,Riverside,515.0,183.0,124.0,67.76,91.0,49.73,84.0,45.9,543.0,224.0,138.0,61.61,79.0,35.27,70.0,31.25
579,S,Otay Ranch Senior High,Sweetwater Union High,San Diego,578.0,227.0,201.0,88.55,156.0,68.72,150.0,66.08,626.0,328.0,276.0,84.15,189.0,57.62,182.0,55.49
580,S,Irvington High,Fremont Unified,Alameda,552.0,349.0,345.0,98.85,338.0,96.85,338.0,96.85,497.0,179.0,165.0,92.18,155.0,86.59,152.0,84.92
582,S,Los Osos High,Chaffey Joint Union High,San Bernardino,736.0,390.0,362.0,92.82,318.0,81.54,310.0,79.49,763.0,367.0,312.0,85.01,243.0,66.21,234.0,63.76
583,S,Sage Creek High,Carlsbad Unified,San Diego,285.0,167.0,161.0,96.41,143.0,85.63,142.0,85.03,307.0,149.0,140.0,93.96,118.0,79.19,117.0,78.52
584,S,Henry M. Gunn High,Palo Alto Unified,Santa Clara,484.0,291.0,290.0,99.66,286.0,98.28,285.0,97.94,501.0,183.0,175.0,95.63,172.0,93.99,170.0,92.9
585,S,San Ramon Valley High,San Ramon Valley Unified,Contra Costa,525.0,245.0,241.0,98.37,225.0,91.84,223.0,91.02,502.0,155.0,146.0,94.19,122.0,78.71,122.0,78.71
588,S,Mayfair High,Bellflower Unified,Los Angeles,480.0,129.0,108.0,83.72,88.0,68.22,83.0,64.34,452.0,161.0,131.0,81.37,86.0,53.42,81.0,50.31
589,S,Helen Bernstein High,Los Angeles Unified,Los Angeles,114.0,94.0,23.0,24.47,16.0,17.02,11.0,11.7,124.0,43.0,13.0,30.23,5.0,11.63,4.0,9.3
590,S,APEX Academy,Los Angeles Unified,Los Angeles,64.0,40.0,7.0,17.5,1.0,2.5,1.0,2.5,82.0,46.0,7.0,15.22,1.0,2.17,1.0,2.17
591,S,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,109.0,89.0,25.0,28.09,10.0,11.24,8.0,8.99,108.0,48.0,21.0,43.75,10.0,20.83,10.0,20.83
593,S,Riverside Preparatory,Oro Grande,San Bernardino,158.0,41.0,30.0,73.17,12.0,29.27,11.0,26.83,117.0,46.0,29.0,63.04,15.0,32.61,13.0,28.26
594,S,Mojave River Academy - National Trails,Oro Grande,San Bernardino,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,S,Mountain Empire High,Mountain Empire Unified,San Diego,100.0,38.0,27.0,71.05,14.0,36.84,14.0,36.84,84.0,27.0,22.0,81.48,11.0,40.74,10.0,37.04
597,S,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,155.0,53.0,34.0,64.15,11.0,20.75,10.0,18.87,167.0,84.0,40.0,47.62,6.0,7.14,5.0,5.95
598,S,Beach High-Intensive Learning Program,Long Beach Unified,Los Angeles,46.0,24.0,2.0,8.33,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,S,Alhambra High,Alhambra Unified,Los Angeles,573.0,279.0,233.0,83.51,176.0,63.08,166.0,59.5,648.0,268.0,198.0,73.88,151.0,56.34,139.0,51.87
600,S,John Muir Charter,Nevada County Office of Education,Nevada,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,S,University Prep,Dehesa Elementary,San Diego,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,S,Mission Hills High,San Marcos Unified,San Diego,642.0,299.0,250.0,83.61,191.0,63.88,184.0,61.54,584.0,223.0,176.0,78.92,110.0,49.33,107.0,47.98
603,S,Oceana High,Jefferson Union High,San Mateo,154.0,39.0,37.0,94.87,32.0,82.05,31.0,79.49,136.0,105.0,79.0,75.24,66.0,62.86,62.0,59.05
607,S,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,99.0,99.0,61.0,61.62,58.0,58.59,49.0,49.49,101.0,95.0,39.0,41.05,38.0,40.0,28.0,29.47
608,S,Contreras Learning Center-Los Angeles School of Global Studies,Los Angeles Unified,Los Angeles,70.0,42.0,9.0,21.43,3.0,7.14,2.0,4.76,70.0,37.0,8.0,21.62,4.0,10.81,3.0,8.11
609,S,Marshall Fundamental,Pasadena Unified,Los Angeles,264.0,135.0,107.0,79.26,70.0,51.85,68.0,50.37,269.0,158.0,114.0,72.15,72.0,45.57,68.0,43.04
610,S,Norte Vista High,Alvord Unified,Riverside,498.0,461.0,183.0,39.7,69.0,14.97,64.0,13.88,483.0,125.0,68.0,54.4,38.0,30.4,34.0,27.2
611,S,Rio Vista High,River Delta Joint Unified,Sacramento,92.0,75.0,28.0,37.33,18.0,24.0,16.0,21.33,106.0,42.0,29.0,69.05,17.0,40.48,16.0,38.1
612,S,East Nicolaus High,East Nicolaus Joint Union High,Sutter,79.0,37.0,30.0,81.08,15.0,40.54,15.0,40.54,79.0,35.0,26.0,74.29,16.0,45.71,16.0,45.71
614,S,Yreka High,Yreka Union High,Siskiyou,133.0,32.0,29.0,90.63,20.0,62.5,20.0,62.5,138.0,41.0,31.0,75.61,24.0,58.54,22.0,53.66
616,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,92.0,73.0,31.0,42.47,14.0,19.18,10.0,13.7,84.0,61.0,23.0,37.7,8.0,13.11,8.0,13.11
617,S,Bullard High,Fresno Unified,Fresno,574.0,399.0,234.0,58.65,113.0,28.32,110.0,27.57,518.0,143.0,84.0,58.74,53.0,37.06,49.0,34.27
618,S,Independence High,Kern High,Kern,500.0,108.0,89.0,82.41,62.0,57.41,57.0,52.78,511.0,166.0,110.0,66.27,55.0,33.13,50.0,30.12
619,S,Bayside Community Day,Moreno Valley Unified,Riverside,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,33.0,4.0,12.12,0.0,0.0,0.0,0.0
620,S,Center High,Center Joint Unified,Sacramento,302.0,39.0,34.0,87.18,32.0,82.05,30.0,76.92,315.0,52.0,43.0,82.69,35.0,67.31,32.0,61.54
621,S,Health Careers Academy,Stockton Unified,San Joaquin,131.0,71.0,35.0,49.3,26.0,36.62,21.0,29.58,96.0,74.0,29.0,39.19,17.0,22.97,15.0,20.27
622,S,Orosi High,Cutler-Orosi Joint Unified,Tulare,267.0,113.0,42.0,37.17,20.0,17.7,17.0,15.04,237.0,122.0,41.0,33.61,18.0,14.75,17.0,13.93
623,S,Cloverdale High,Cloverdale Unified,Sonoma,95.0,23.0,20.0,86.96,13.0,56.52,13.0,56.52,70.0,21.0,10.0,47.62,4.0,19.05,2.0,9.52
624,S,Stockton Early College Academy,Stockton Unified,San Joaquin,107.0,61.0,56.0,91.8,45.0,73.77,44.0,72.13,99.0,89.0,78.0,87.64,58.0,65.17,56.0,62.92
625,S,Prospect High,Campbell Union High,Santa Clara,371.0,163.0,147.0,90.18,131.0,80.37,129.0,79.14,386.0,140.0,117.0,83.57,92.0,65.71,87.0,62.14
626,S,Accelerated Charter High,Tulare Joint Union High,Tulare,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,S,Canyon Crest Academy,San Dieguito Union High,San Diego,627.0,414.0,411.0,99.28,406.0,98.07,405.0,97.83,635.0,156.0,154.0,98.72,144.0,92.31,143.0,91.67
629,S,Summerville High,Summerville Union High,Tuolumne,98.0,32.0,30.0,93.75,21.0,65.63,20.0,62.5,84.0,24.0,20.0,83.33,15.0,62.5,15.0,62.5
632,S,Maria Carrillo High,Santa Rosa High,Sonoma,392.0,137.0,132.0,96.35,127.0,92.7,125.0,91.24,352.0,99.0,91.0,91.92,86.0,86.87,84.0,84.85
634,S,Santa Rosa High,Santa Rosa High,Sonoma,497.0,134.0,129.0,96.27,115.0,85.82,114.0,85.07,458.0,90.0,80.0,88.89,61.0,67.78,61.0,67.78
635,S,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,144.0,129.0,58.0,44.96,25.0,19.38,20.0,15.5,144.0,81.0,32.0,39.51,13.0,16.05,11.0,13.58
636,S,Norwalk High,Norwalk-La Mirada Unified,Los Angeles,498.0,443.0,224.0,50.56,101.0,22.8,91.0,20.54,453.0,430.0,186.0,43.26,84.0,19.53,77.0,17.91
637,S,John F. Kennedy High,Anaheim Union High,Orange,556.0,177.0,166.0,93.79,155.0,87.57,150.0,84.75,654.0,252.0,226.0,89.68,179.0,71.03,174.0,69.05
638,S,Summit High,Fontana Unified,San Bernardino,574.0,519.0,269.0,51.83,147.0,28.32,133.0,25.63,556.0,241.0,148.0,61.41,88.0,36.51,79.0,32.78
639,S,Middle College High,San Jose Unified,Santa Clara,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,S,Pacifica High,Oxnard Union High,Ventura,752.0,607.0,253.0,41.68,127.0,20.92,109.0,17.96,726.0,491.0,198.0,40.33,115.0,23.42,101.0,20.57
641,S,Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,89.0,63.0,63.0,100.0,61.0,96.83,61.0,96.83,90.0,48.0,47.0,97.92,42.0,87.5,42.0,87.5
642,S,San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,200.0,81.0,78.0,96.3,58.0,71.6,57.0,70.37,139.0,40.0,33.0,82.5,23.0,57.5,23.0,57.5
645,S,Frontier High,Kern High,Kern,575.0,205.0,169.0,82.44,144.0,70.24,138.0,67.32,576.0,192.0,154.0,80.21,124.0,64.58,118.0,61.46
646,S,Arvin High,Kern High,Kern,636.0,146.0,104.0,71.23,56.0,38.36,52.0,35.62,616.0,216.0,101.0,46.76,42.0,19.44,38.0,17.59
647,S,Rosemead High,El Monte Union High,Los Angeles,412.0,224.0,191.0,85.27,144.0,64.29,139.0,62.05,511.0,179.0,145.0,81.01,116.0,64.8,112.0,62.57
648,S,Ellen Ochoa Prep Academy,El Rancho Unified,Los Angeles,70.0,66.0,35.0,53.03,11.0,16.67,10.0,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,S,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,114.0,113.0,70.0,61.95,26.0,23.01,26.0,23.01,126.0,53.0,35.0,66.04,17.0,32.08,15.0,28.3
650,S,Golden Valley High,William S. Hart Union High,Los Angeles,551.0,130.0,116.0,89.23,100.0,76.92,99.0,76.15,479.0,175.0,137.0,78.29,93.0,53.14,88.0,50.29
652,S,El Dorado High,Placentia-Yorba Linda Unified,Orange,472.0,182.0,170.0,93.41,158.0,86.81,153.0,84.07,462.0,176.0,158.0,89.77,139.0,78.98,133.0,75.57
653,S,Valley View High,Moreno Valley Unified,Riverside,611.0,137.0,85.0,62.04,52.0,37.96,49.0,35.77,595.0,538.0,227.0,42.19,123.0,22.86,115.0,21.38
655,S,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,29.0,16.0,15.0,93.75,11.0,68.75,11.0,68.75,25.0,15.0,13.0,86.67,12.0,80.0,10.0,66.67
656,S,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,136.0,71.0,68.0,95.77,53.0,74.65,53.0,74.65,128.0,72.0,70.0,97.22,35.0,48.61,35.0,48.61
658,S,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,302.0,273.0,115.0,42.12,47.0,17.22,40.0,14.65,314.0,279.0,74.0,26.52,42.0,15.05,31.0,11.11
659,S,Madera South High,Madera Unified,Madera,749.0,614.0,244.0,39.74,107.0,17.43,98.0,15.96,621.0,130.0,60.0,46.15,27.0,20.77,24.0,18.46
662,S,Placer High,Placer Union High,Placer,316.0,84.0,79.0,94.05,74.0,88.1,71.0,84.52,343.0,101.0,87.0,86.14,71.0,70.3,69.0,68.32
664,S,Crossroads High (Alternative),Newark Unified,Alameda,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,S,Mt. Diablo High,Mt. Diablo Unified,Contra Costa,355.0,52.0,33.0,63.46,21.0,40.38,17.0,32.69,255.0,104.0,54.0,51.92,36.0,34.62,32.0,30.77
666,S,Franklin High,Elk Grove Unified,Sacramento,664.0,312.0,297.0,95.19,262.0,83.97,260.0,83.33,595.0,283.0,251.0,88.69,210.0,74.2,202.0,71.38
667,S,Henry J. Kaiser High,Fontana Unified,San Bernardino,472.0,411.0,208.0,50.61,99.0,24.09,93.0,22.63,516.0,227.0,132.0,58.15,64.0,28.19,63.0,27.75
668,S,Fallbrook High,Fallbrook Union High,San Diego,464.0,116.0,92.0,79.31,76.0,65.52,75.0,64.66,464.0,105.0,78.0,74.29,53.0,50.48,51.0,48.57
669,S,Mission High,San Francisco Unified,San Francisco,288.0,61.0,33.0,54.1,17.0,27.87,15.0,24.59,324.0,131.0,58.0,44.27,40.0,30.53,33.0,25.19
670,S,Monte Vista High,San Ramon Valley Unified,Contra Costa,612.0,323.0,313.0,96.9,292.0,90.4,290.0,89.78,597.0,243.0,231.0,95.06,203.0,83.54,200.0,82.3
671,S,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,184.0,214.0,62.0,28.97,24.0,11.21,21.0,9.81,233.0,97.0,44.0,45.36,22.0,22.68,20.0,20.62
672,S,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,387.0,189.0,46.0,24.34,17.0,8.99,14.0,7.41,382.0,98.0,28.0,28.57,10.0,10.2,9.0,9.18
673,S,Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,89.0,26.0,18.0,69.23,6.0,23.08,6.0,23.08,90.0,43.0,22.0,51.16,9.0,20.93,9.0,20.93
674,S,Sanhedrin Alternative,Willits Unified,Mendocino,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,S,Coalinga High,Coalinga-Huron Unified,Fresno,264.0,64.0,41.0,64.06,23.0,35.94,23.0,35.94,236.0,59.0,38.0,64.41,15.0,25.42,15.0,25.42
677,S,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,170.0,166.0,45.0,27.11,18.0,10.84,17.0,10.24,122.0,60.0,25.0,41.67,9.0,15.0,6.0,10.0
679,S,Insight @ San Joaquin,New Jerusalem Elementary,San Joaquin,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,S,Central High East Campus,Central Unified,Fresno,1026.0,358.0,237.0,66.2,111.0,31.01,106.0,29.61,913.0,379.0,224.0,59.1,98.0,25.86,94.0,24.8
681,S,Manual Arts Senior High,Los Angeles Unified,Los Angeles,353.0,302.0,74.0,24.5,24.0,7.95,21.0,6.95,377.0,208.0,67.0,32.21,19.0,9.13,17.0,8.17
682,S,Reseda Charter High,Los Angeles Unified,Los Angeles,326.0,278.0,110.0,39.57,66.0,23.74,60.0,21.58,349.0,294.0,102.0,34.69,50.0,17.01,45.0,15.31
683,S,Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,302.0,269.0,76.0,28.25,15.0,5.58,12.0,4.46,306.0,116.0,45.0,38.79,11.0,9.48,11.0,9.48
688,S,Terra Nova High,Jefferson Union High,San Mateo,226.0,68.0,66.0,97.06,57.0,83.82,56.0,82.35,208.0,171.0,130.0,76.02,92.0,53.8,90.0,52.63
