,record_type,school_name,district_name,county_name,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
657,S,Ivy Academia,Los Angeles Unified,Los Angeles,43.0,19.0,12.0,63.16,7.0,36.84,7.0,36.84
658,S,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,314.0,279.0,74.0,26.52,42.0,15.05,31.0,11.11
659,S,Madera South High,Madera Unified,Madera,621.0,130.0,60.0,46.15,27.0,20.77,24.0,18.46
662,S,Placer High,Placer Union High,Placer,343.0,101.0,87.0,86.14,71.0,70.3,69.0,68.32
664,S,Crossroads High (Alternative),Newark Unified,Alameda,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,S,Mt. Diablo High,Mt. Diablo Unified,Contra Costa,255.0,104.0,54.0,51.92,36.0,34.62,32.0,30.77
666,S,Franklin High,Elk Grove Unified,Sacramento,595.0,283.0,251.0,88.69,210.0,74.2,202.0,71.38
667,S,Henry J. Kaiser High,Fontana Unified,San Bernardino,516.0,227.0,132.0,58.15,64.0,28.19,63.0,27.75
668,S,Fallbrook High,Fallbrook Union High,San Diego,464.0,105.0,78.0,74.29,53.0,50.48,51.0,48.57
669,S,Mission High,San Francisco Unified,San Francisco,324.0,131.0,58.0,44.27,40.0,30.53,33.0,25.19
670,S,Monte Vista High,San Ramon Valley Unified,Contra Costa,597.0,243.0,231.0,95.06,203.0,83.54,200.0,82.3
671,S,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233.0,97.0,44.0,45.36,22.0,22.68,20.0,20.62
672,S,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,98.0,28.0,28.57,10.0,10.2,9.0,9.18
673,S,Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90.0,43.0,22.0,51.16,9.0,20.93,9.0,20.93
674,S,Sanhedrin Alternative,Willits Unified,Mendocino,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,S,Mojave River Academy - Silver Mountain,Oro Grande,San Bernardino,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,S,Coalinga High,Coalinga-Huron Unified,Fresno,236.0,59.0,38.0,64.41,15.0,25.42,15.0,25.42
677,S,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122.0,60.0,25.0,41.67,9.0,15.0,6.0,10.0
679,S,Insight @ San Joaquin,New Jerusalem Elementary,San Joaquin,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,S,Central High East Campus,Central Unified,Fresno,913.0,379.0,224.0,59.1,98.0,25.86,94.0,24.8
681,S,Manual Arts Senior High,Los Angeles Unified,Los Angeles,377.0,208.0,67.0,32.21,19.0,9.13,17.0,8.17
682,S,Reseda Charter High,Los Angeles Unified,Los Angeles,349.0,294.0,102.0,34.69,50.0,17.01,45.0,15.31
683,S,Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,306.0,116.0,45.0,38.79,11.0,9.48,11.0,9.48
688,S,Terra Nova High,Jefferson Union High,San Mateo,208.0,171.0,130.0,76.02,92.0,53.8,90.0,52.63
689,S,Oakland Technical High,Oakland Unified,Alameda,492.0,186.0,156.0,83.87,116.0,62.37,114.0,61.29
690,S,School of Business and Tourism at Contreras Learning Complex,Los Angeles Unified,Los Angeles,104.0,86.0,37.0,43.02,17.0,19.77,16.0,18.6
691,S,Aveson Global Leadership Academy,Pasadena Unified,Los Angeles,49.0,24.0,15.0,62.5,6.0,25.0,6.0,25.0
692,S,La Sierra High,Alvord Unified,Riverside,418.0,99.0,66.0,66.67,43.0,43.43,40.0,40.4
693,S,The MET,Sacramento City Unified,Sacramento,60.0,15.0,7.0,46.67,3.0,20.0,3.0,20.0
695,S,Wilmer Amina Carter High,Rialto Unified,San Bernardino,583.0,173.0,96.0,55.49,52.0,30.06,44.0,25.43
696,S,Eisenhower Senior High,Rialto Unified,San Bernardino,524.0,124.0,57.0,45.97,39.0,31.45,35.0,28.23
697,S,San Diego International Studies,San Diego Unified,San Diego,286.0,116.0,79.0,68.1,44.0,37.93,43.0,37.07
698,S,Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,220.0,69.0,63.0,91.3,49.0,71.01,48.0,69.57
699,S,Come Back Butte Charter,Butte County Office of Education,Butte,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,S,Lifeline Education Charter,Compton Unified,Los Angeles,59.0,21.0,4.0,19.05,1.0,4.76,1.0,4.76
702,S,Quartz Hill High,Antelope Valley Union High,Los Angeles,750.0,188.0,168.0,89.36,115.0,61.17,113.0,60.11
703,S,CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182.0,84.0,58.0,69.05,31.0,36.9,29.0,34.52
704,S,Santee Education Complex,Los Angeles Unified,Los Angeles,384.0,334.0,94.0,28.14,31.0,9.28,28.0,8.38
706,S,Aragon High,San Mateo Union High,San Mateo,385.0,172.0,157.0,91.28,137.0,79.65,135.0,78.49
707,S,College Bridge Academy,Inyo County Office of Education,Inyo,86.0,23.0,1.0,4.35,1.0,4.35,0.0,0.0
708,S,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,247.0,139.0,57.0,41.01,27.0,19.42,21.0,15.11
709,S,New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,47.0,25.0,4.0,16.0,1.0,4.0,1.0,4.0
710,S,Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,68.0,45.0,23.0,51.11,10.0,22.22,10.0,22.22
711,S,Anderson Valley Junior-Senior High,Anderson Valley Unified,Mendocino,46.0,25.0,17.0,68.0,5.0,20.0,5.0,20.0
713,S,Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,519.0,157.0,140.0,89.17,108.0,68.79,105.0,66.88
714,S,Foothill High,Shasta Union High,Shasta,317.0,61.0,53.0,86.89,39.0,63.93,38.0,62.3
716,S,Riverdale High,Riverdale Joint Unified,Fresno,124.0,41.0,19.0,46.34,10.0,24.39,9.0,21.95
720,S,Provisional Accelerated Learning Academy,San Bernardino City Unified,San Bernardino,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,S,e3 Civic High,San Diego Unified,San Diego,81.0,32.0,21.0,65.63,12.0,37.5,12.0,37.5
722,S,Urban Discovery Academy Charter,San Diego Unified,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,S,Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,61.0,19.0,9.0,47.37,4.0,21.05,4.0,21.05
724,S,Williams Junior/Senior High,Williams Unified,Colusa,78.0,29.0,11.0,37.93,1.0,3.45,0.0,0.0
725,S,Summit Public School K2,Contra Costa County Office of Education,Contra Costa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,S,Calabasas High,Las Virgenes Unified,Los Angeles,524.0,203.0,185.0,91.13,143.0,70.44,139.0,68.47
728,S,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,210.0,118.0,99.0,83.9,85.0,72.03,82.0,69.49
729,S,Downtown Business High,Los Angeles Unified,Los Angeles,203.0,154.0,118.0,76.62,84.0,54.55,82.0,53.25
730,S,Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,277.0,158.0,71.0,44.94,58.0,36.71,46.0,29.11
732,S,Alta Loma High,Chaffey Joint Union High,San Bernardino,634.0,231.0,164.0,71.0,107.0,46.32,101.0,43.72
733,S,Guajome Park Academy Charter,Vista Unified,San Diego,103.0,41.0,32.0,78.05,28.0,68.29,27.0,65.85
734,S,Corning High,Corning Union High,Tehama,206.0,30.0,24.0,80.0,18.0,60.0,18.0,60.0
735,S,Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103.0,43.0,10.0,23.26,6.0,13.95,5.0,11.63
736,S,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114.0,108.0,43.0,39.81,11.0,10.19,11.0,10.19
737,S,Hemet High,Hemet Unified,Riverside,573.0,405.0,204.0,50.37,103.0,25.43,98.0,24.2
738,S,Aspire Alexander Twilight Secondary Academy,San Juan Unified,Sacramento,36.0,26.0,12.0,46.15,4.0,15.38,4.0,15.38
739,S,"Humphreys College Academy of Business, Law and Education",New Jerusalem Elementary,San Joaquin,55.0,50.0,23.0,46.0,12.0,24.0,11.0,22.0
740,S,Dixon High,Dixon Unified,Solano,246.0,94.0,73.0,77.66,62.0,65.96,59.0,62.77
741,S,Leroy Greene Academy,Natomas Unified,Sacramento,67.0,37.0,16.0,43.24,4.0,10.81,4.0,10.81
743,S,Green Valley High,Yucaipa-Calimesa Joint Unified,San Bernardino,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,S,Lindsay Senior High,Lindsay Unified,Tulare,250.0,100.0,55.0,55.0,15.0,15.0,12.0,12.0
746,S,Paradise Senior High,Paradise Unified,Butte,231.0,52.0,48.0,92.31,39.0,75.0,38.0,73.08
747,S,Matrix for Success Academy,Los Angeles Unified,Los Angeles,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,S,Everett Alvarez High,Salinas Union High,Monterey,607.0,161.0,102.0,63.35,51.0,31.68,48.0,29.81
749,S,Armijo High,Fairfield-Suisun Unified,Solano,500.0,127.0,104.0,81.89,79.0,62.2,75.0,59.06
750,S,Burroughs High,Sierra Sands Unified,Kern,331.0,86.0,76.0,88.37,63.0,73.26,62.0,72.09
752,S,Phineas Banning Senior High,Los Angeles Unified,Los Angeles,545.0,176.0,96.0,54.55,41.0,23.3,39.0,22.16
753,S,Owensmouth Continuation,Los Angeles Unified,Los Angeles,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,S,Nogales High,Rowland Unified,Los Angeles,433.0,183.0,107.0,58.47,52.0,28.42,48.0,26.23
756,S,Central Valley High,Ceres Unified,Stanislaus,439.0,190.0,109.0,57.37,44.0,23.16,38.0,20.0
757,S,Santa Susana High,Simi Valley Unified,Ventura,252.0,67.0,65.0,97.01,54.0,80.6,54.0,80.6
758,S,Royal High,Simi Valley Unified,Ventura,456.0,133.0,119.0,89.47,87.0,65.41,81.0,60.9
759,S,Del Lago Academy - Campus of Applied Science,Escondido Union High,San Diego,178.0,97.0,80.0,82.47,47.0,48.45,47.0,48.45
760,S,Valley Center High,Valley Center-Pauma Unified,San Diego,267.0,109.0,77.0,70.64,43.0,39.45,41.0,37.61
761,S,Hart-Ransom Academic Charter,Hart-Ransom Union Elementary,Stanislaus,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762,S,Grace M. Davis High,Modesto City High,Stanislaus,452.0,111.0,63.0,56.76,34.0,30.63,30.0,27.03
765,S,Wheatland Union High,Wheatland Union High,Yuba,166.0,52.0,43.0,82.69,27.0,51.92,26.0,50.0
766,S,Alternative Family Education,Santa Cruz City High,Santa Cruz,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,S,Capistrano Valley High,Capistrano Unified,Orange,521.0,153.0,142.0,92.81,120.0,78.43,117.0,76.47
771,S,San Clemente High,Capistrano Unified,Orange,808.0,234.0,216.0,92.31,190.0,81.2,187.0,79.91
772,S,Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,65.0,29.0,12.0,41.38,11.0,37.93,8.0,27.59
773,S,Fremont High,Oakland Unified,Alameda,154.0,43.0,13.0,30.23,3.0,6.98,2.0,4.65
774,S,East Bay Innovation Academy,Oakland Unified,Alameda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775,S,Redwood High,Tamalpais Union High,Marin,447.0,176.0,171.0,97.16,158.0,89.77,158.0,89.77
776,S,Riverside County Education Academy,Riverside County Office of Education,Riverside,67.0,50.0,2.0,4.0,1.0,2.0,1.0,2.0
777,S,Pivot Charter School Riverside,Riverside County Office of Education,Riverside,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,S,JCS - Pine Hills,Riverside County Office of Education,Riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,S,Orangewood High (Continuation),Redlands Unified,San Bernardino,139.0,44.0,14.0,31.82,2.0,4.55,2.0,4.55
780,S,Redlands Senior High,Redlands Unified,San Bernardino,569.0,360.0,269.0,74.72,218.0,60.56,198.0,55.0
781,S,McClymonds High,Oakland Unified,Alameda,77.0,45.0,13.0,28.89,5.0,11.11,5.0,11.11
782,S,American Indian Public High,Oakland Unified,Alameda,62.0,63.0,44.0,69.84,41.0,65.08,34.0,53.97
783,S,Coliseum College Prep Academy,Oakland Unified,Alameda,63.0,22.0,8.0,36.36,2.0,9.09,2.0,9.09
784,S,Southwest High,Central Union High,Imperial,513.0,183.0,126.0,68.85,76.0,41.53,72.0,39.34
785,S,Bonita High,Bonita Unified,Los Angeles,471.0,182.0,151.0,82.97,108.0,59.34,104.0,57.14
786,S,Malibu High,Santa Monica-Malibu Unified,Los Angeles,157.0,72.0,65.0,90.28,56.0,77.78,55.0,76.39
787,S,Cordova High,Folsom-Cordova Unified,Sacramento,386.0,89.0,65.0,73.03,43.0,48.31,38.0,42.7
788,S,Madison Park Academy 6-12,Oakland Unified,Alameda,93.0,28.0,11.0,39.29,4.0,14.29,4.0,14.29
789,S,"Math, Science, & Technology Magnet Academy at Roosevelt High",Los Angeles Unified,Los Angeles,104.0,60.0,39.0,65.0,20.0,33.33,19.0,31.67
790,S,Pacheco High,Los Banos Unified,Merced,418.0,120.0,72.0,60.0,31.0,25.83,29.0,24.17
791,S,Sierra High,San Bernardino City Unified,San Bernardino,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
792,S,San Bernardino High,San Bernardino City Unified,San Bernardino,321.0,94.0,53.0,56.38,24.0,25.53,19.0,20.21
795,S,Bella Vista High,San Juan Unified,Sacramento,458.0,145.0,130.0,89.66,106.0,73.1,102.0,70.34
796,S,Scripps Ranch High,San Diego Unified,San Diego,542.0,255.0,239.0,93.73,216.0,84.71,211.0,82.75
797,S,High Tech High,San Diego Unified,San Diego,126.0,92.0,64.0,69.57,30.0,32.61,28.0,30.43
798,S,Morse High,San Diego Unified,San Diego,374.0,119.0,90.0,75.63,67.0,56.3,61.0,51.26
799,S,Manteca Community Day (7-12),Manteca Unified,San Joaquin,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,S,Manteca High,Manteca Unified,San Joaquin,372.0,75.0,43.0,57.33,25.0,33.33,25.0,33.33
801,S,Tehachapi High,Tehachapi Unified,Kern,280.0,62.0,51.0,82.26,33.0,53.23,33.0,53.23
802,S,Whitney Young Continuation,Los Angeles Unified,Los Angeles,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803,S,Alisal High,Salinas Union High,Monterey,651.0,232.0,121.0,52.16,77.0,33.19,67.0,28.88
804,S,Perris High,Perris Union High,Riverside,512.0,145.0,71.0,48.97,31.0,21.38,28.0,19.31
805,S,John W. North High,Riverside Unified,Riverside,501.0,213.0,128.0,60.09,82.0,38.5,74.0,34.74
806,S,Merrill F. West High,Tracy Joint Unified,San Joaquin,481.0,142.0,109.0,76.76,67.0,47.18,65.0,45.77
807,S,West Park Charter Academy,West Park Elementary,Fresno,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
808,S,Avalon K-12,Long Beach Unified,Los Angeles,43.0,20.0,11.0,55.0,6.0,30.0,5.0,25.0
809,S,James Monroe High,Los Angeles Unified,Los Angeles,510.0,183.0,80.0,43.72,39.0,21.31,33.0,18.03
810,S,San Fernando Senior High,Los Angeles Unified,Los Angeles,458.0,192.0,98.0,51.04,56.0,29.17,48.0,25.0
811,S,Van Nuys Senior High,Los Angeles Unified,Los Angeles,535.0,240.0,204.0,85.0,150.0,62.5,148.0,61.67
812,S,Palisades Charter High,Los Angeles Unified,Los Angeles,714.0,299.0,259.0,86.62,210.0,70.23,205.0,68.56
814,S,Murrieta Valley High,Murrieta Valley Unified,Riverside,572.0,221.0,192.0,86.88,124.0,56.11,119.0,53.85
815,S,Cesar E. Chavez High,Delano Joint Union High,Kern,316.0,128.0,75.0,58.59,56.0,43.75,52.0,40.63
816,S,"Hilda L. Solis Learning Academy School of Technology, Business and Education",Los Angeles Unified,Los Angeles,67.0,41.0,10.0,24.39,6.0,14.63,4.0,9.76
819,S,John Henry High,West Contra Costa Unified,Contra Costa,78.0,44.0,22.0,50.0,13.0,29.55,11.0,25.0
820,S,Greenwood Academy,West Contra Costa Unified,Contra Costa,241.0,74.0,2.0,2.7,1.0,1.35,1.0,1.35
821,S,Arcadia High,Arcadia Unified,Los Angeles,829.0,369.0,343.0,92.95,326.0,88.35,312.0,84.55
822,S,Rocklin High,Rocklin Unified,Placer,499.0,193.0,173.0,89.64,157.0,81.35,152.0,78.76
823,S,Vista Norte Public Charter,Helendale Elementary,San Bernardino,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825,S,Five Keys Independence HS (SF Sheriff's),San Francisco Unified,San Francisco,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826,S,Leadership High,San Francisco Unified,San Francisco,75.0,42.0,12.0,28.57,3.0,7.14,2.0,4.76
827,S,Hillsdale High,San Mateo Union High,San Mateo,356.0,151.0,125.0,82.78,114.0,75.5,109.0,72.19
828,S,Las Lomas High,Acalanes Union High,Contra Costa,367.0,149.0,135.0,90.6,114.0,76.51,114.0,76.51
831,S,Ellington (Duke) High (Continuation),Los Angeles Unified,Los Angeles,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835,S,Arnold O. Beckman High,Tustin Unified,Orange,760.0,258.0,239.0,92.64,212.0,82.17,207.0,80.23
836,S,Los Altos High,Mountain View-Los Altos Union High,Santa Clara,525.0,185.0,164.0,88.65,139.0,75.14,137.0,74.05
837,S,Concord High,Mt. Diablo Unified,Contra Costa,369.0,115.0,91.0,79.13,68.0,59.13,65.0,56.52
839,S,Unity Middle College High,Orange County Department of Education,Orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840,S,Temecula Valley High,Temecula Valley Unified,Riverside,642.0,310.0,251.0,80.97,147.0,47.42,142.0,45.81
841,S,Montclair High,Chaffey Joint Union High,San Bernardino,705.0,270.0,160.0,59.26,105.0,38.89,97.0,35.93
842,S,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,160.0,128.0,80.0,83.0,51.88,80.0,50.0
843,S,Technology High,Cotati-Rohnert Park Unified,Sonoma,76.0,27.0,26.0,96.3,20.0,74.07,19.0,70.37
844,S,Nordhoff High,Ojai Unified,Ventura,157.0,49.0,40.0,81.63,28.0,57.14,28.0,57.14
846,S,Summit Charter Academy,Burton Elementary,Tulare,81.0,33.0,22.0,66.67,9.0,27.27,9.0,27.27
848,S,NAVA College Preparatory Academy,Los Angeles Unified,Los Angeles,153.0,79.0,21.0,26.58,7.0,8.86,6.0,7.59
849,S,Natomas Charter,Natomas Unified,Sacramento,117.0,77.0,69.0,89.61,42.0,54.55,42.0,54.55
850,S,Victor Valley High,Victor Valley Union High,San Bernardino,425.0,89.0,56.0,62.92,26.0,29.21,21.0,23.6
851,S,Andrew P. Hill High,East Side Union High,Santa Clara,450.0,140.0,111.0,79.29,80.0,57.14,78.0,55.71
852,S,Will C. Wood High,Vacaville Unified,Solano,329.0,122.0,89.0,72.95,66.0,54.1,58.0,47.54
853,S,Analy High,West Sonoma County Union High,Sonoma,262.0,93.0,86.0,92.47,64.0,68.82,64.0,68.82
854,S,Mt. Whitney High,Visalia Unified,Tulare,397.0,101.0,68.0,67.33,43.0,42.57,41.0,40.59
855,S,Public Safety Academy,Fairfield-Suisun Unified,Solano,79.0,32.0,23.0,71.88,18.0,56.25,16.0,50.0
856,S,Hearthstone School,Butte County Office of Education,Butte,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
857,S,Fresno High,Fresno Unified,Fresno,442.0,91.0,43.0,47.25,9.0,9.89,8.0,8.79
858,S,Desert Hot Springs High,Palm Springs Unified,Riverside,417.0,82.0,48.0,58.54,16.0,19.51,15.0,18.29
860,S,Dr. TJ Owens Gilroy Early College Academy,Gilroy Unified,Santa Clara,64.0,55.0,50.0,90.91,43.0,78.18,41.0,74.55
861,S,Prospect Education Center,Porterville Unified,Tulare,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862,S,Laguna Hills High,Saddleback Valley Unified,Orange,374.0,118.0,107.0,90.68,72.0,61.02,71.0,60.17
863,S,San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,370.0,136.0,125.0,91.91,110.0,80.88,107.0,78.68
864,S,Petaluma High,Petaluma Joint Union High,Sonoma,319.0,129.0,115.0,89.15,87.0,67.44,85.0,65.89
866,S,Ceres High,Ceres Unified,Stanislaus,381.0,141.0,73.0,51.77,38.0,26.95,34.0,24.11
867,S,Mt. Eden High,Hayward Unified,Alameda,459.0,164.0,117.0,71.34,85.0,51.83,80.0,48.78
868,S,Northridge Academy High,Los Angeles Unified,Los Angeles,235.0,103.0,77.0,74.76,43.0,41.75,40.0,38.83
870,S,Thrive Public,SBE - Thrive Public,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871,S,Thomas Downey High,Modesto City High,Stanislaus,479.0,142.0,97.0,68.31,52.0,36.62,47.0,33.1
872,S,Elk Grove High,Elk Grove Unified,Sacramento,475.0,139.0,115.0,82.73,90.0,64.75,85.0,61.15
873,S,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63.0,18.0,15.0,83.33,5.0,27.78,5.0,27.78
874,S,Davis Senior High,Davis Joint Unified,Yolo,569.0,268.0,256.0,95.52,244.0,91.04,238.0,88.81
875,S,Scotts Valley High,Scotts Valley Unified,Santa Cruz,192.0,90.0,84.0,93.33,73.0,81.11,73.0,81.11
876,S,Riverbank High,Riverbank Unified,Stanislaus,144.0,40.0,23.0,57.5,13.0,32.5,11.0,27.5
877,S,Pioneer High,Woodland Joint Unified,Yolo,350.0,125.0,91.0,72.8,57.0,45.6,52.0,41.6
878,S,Woodland Senior High,Woodland Joint Unified,Yolo,343.0,98.0,62.0,63.27,40.0,40.82,37.0,37.76
879,S,Oakland School for the Arts,Oakland Unified,Alameda,103.0,48.0,41.0,85.42,30.0,62.5,29.0,60.42
880,S,San Pasqual Valley High,San Pasqual Valley Unified,Imperial,42.0,19.0,6.0,31.58,3.0,15.79,2.0,10.53
882,S,Wonderful College Prep Academy,Kern County Office of Education,Kern,128.0,101.0,37.0,36.63,22.0,21.78,19.0,18.81
883,S,Hawthorne High,Centinela Valley Union High,Los Angeles,498.0,199.0,88.0,44.22,25.0,12.56,23.0,11.56
884,S,Troy High,Fullerton Joint Union High,Orange,624.0,286.0,273.0,95.45,257.0,89.86,254.0,88.81
885,S,Olive Grove Charter - Lompoc,SBE - Olive Grove Charter - Lompoc,Santa Barbara,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886,S,Northern Summit Academy,Whitmore Union Elementary,Shasta,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
887,S,Santa Maria High,Santa Maria Joint Union High,Santa Barbara,588.0,142.0,93.0,65.49,74.0,52.11,68.0,47.89
889,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,43.0,32.0,30.0,93.75,29.0,90.63,28.0,87.5
890,S,Centennial High,Kern High,Kern,471.0,127.0,109.0,85.83,83.0,65.35,80.0,62.99
891,S,East Bakersfield High,Kern High,Kern,533.0,133.0,74.0,55.64,36.0,27.07,30.0,22.56
892,S,Santa Fe High,Whittier Union High,Los Angeles,521.0,264.0,189.0,71.59,106.0,40.15,99.0,37.5
893,S,Whittier High,Whittier Union High,Los Angeles,432.0,266.0,155.0,58.27,106.0,39.85,93.0,34.96
894,S,William S. Hart High,William S. Hart Union High,Los Angeles,540.0,208.0,179.0,86.06,147.0,70.67,139.0,66.83
895,S,University Preparatory,Victor Valley Union High,San Bernardino,164.0,109.0,96.0,88.07,66.0,60.55,65.0,59.63
897,S,Union Mine High,El Dorado Union High,El Dorado,259.0,63.0,54.0,85.71,45.0,71.43,40.0,63.49
898,S,Ponderosa High,El Dorado Union High,El Dorado,420.0,138.0,125.0,90.58,111.0,80.43,108.0,78.26
899,S,South Tahoe High,Lake Tahoe Unified,El Dorado,239.0,54.0,43.0,79.63,30.0,55.56,28.0,51.85
900,S,Le Grand High,Le Grand Union High,Merced,95.0,46.0,20.0,43.48,11.0,23.91,7.0,15.22
901,S,Ocean View High,Huntington Beach Union High,Orange,324.0,92.0,66.0,71.74,39.0,42.39,37.0,40.22
902,S,Antioch High,Antioch Unified,Contra Costa,456.0,110.0,64.0,58.18,25.0,22.73,22.0,20.0
903,S,Avenal High,Reef-Sunset Unified,Kings,149.0,63.0,21.0,33.33,9.0,14.29,8.0,12.7
904,S,Clear Lake High,Lakeport Unified,Lake,80.0,27.0,24.0,88.89,18.0,66.67,18.0,66.67
905,S,Clear Passage Educational Center,Long Beach Unified,Los Angeles,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,S,Millikan High,Long Beach Unified,Los Angeles,824.0,461.0,337.0,73.1,215.0,46.64,211.0,45.77
907,S,Polytechnic High,Long Beach Unified,Los Angeles,1007.0,607.0,394.0,64.91,265.0,43.66,257.0,42.34
908,S,Wilson High,Long Beach Unified,Los Angeles,818.0,671.0,368.0,54.84,209.0,31.15,198.0,29.51
909,S,San Pedro Senior High,Los Angeles Unified,Los Angeles,480.0,125.0,85.0,68.0,50.0,40.0,49.0,39.2
910,S,Taft Charter High,Los Angeles Unified,Los Angeles,498.0,207.0,154.0,74.4,98.0,47.34,94.0,45.41
911,S,Venice Senior High,Los Angeles Unified,Los Angeles,398.0,197.0,140.0,71.07,97.0,49.24,93.0,47.21
913,S,Redondo Union High,Redondo Beach Unified,Los Angeles,709.0,190.0,175.0,92.11,151.0,79.47,148.0,77.89
916,S,Bear River High,Nevada Joint Union High,Nevada,128.0,40.0,32.0,80.0,27.0,67.5,26.0,65.0
919,S,American High,Fremont Unified,Alameda,538.0,203.0,188.0,92.61,180.0,88.67,174.0,85.71
921,S,Placer County Community Schools,Placer County Office of Education,Placer,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
922,S,El Camino High,Oceanside Unified,San Diego,795.0,246.0,188.0,76.42,152.0,61.79,140.0,56.91
923,S,Arroyo High,San Lorenzo Unified,Alameda,473.0,192.0,135.0,70.31,99.0,51.56,91.0,47.4
925,S,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,Los Angeles Unified,Los Angeles,78.0,28.0,3.0,10.71,1.0,3.57,1.0,3.57
926,S,Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,141.0,81.0,34.0,41.98,15.0,18.52,13.0,16.05
927,S,Visual and Performing Arts at Legacy High School Complex,Los Angeles Unified,Los Angeles,115.0,60.0,27.0,45.0,5.0,8.33,5.0,8.33
930,S,Branham High,Campbell Union High,Santa Clara,416.0,139.0,129.0,92.81,106.0,76.26,103.0,74.1
932,S,Angel's Gate (Continuation),Los Angeles Unified,Los Angeles,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
935,S,Chatsworth Charter High,Los Angeles Unified,Los Angeles,448.0,181.0,108.0,59.67,72.0,39.78,65.0,35.91
936,S,Sun Valley Magnet,Los Angeles Unified,Los Angeles,71.0,28.0,15.0,53.57,13.0,46.43,9.0,32.14
938,S,John A. Rowland High,Rowland Unified,Los Angeles,513.0,194.0,157.0,80.93,134.0,69.07,123.0,63.4
940,S,El Camino High (Continuation),Norwalk-La Mirada Unified,Los Angeles,161.0,86.0,7.0,8.14,1.0,1.16,1.0,1.16
941,S,Cypress High,Anaheim Union High,Orange,713.0,324.0,281.0,86.73,225.0,69.44,217.0,66.98
