Place,County/ies,Population,Population Density,Per capita income,Median household income,Median family income
Gold River,Sacramento,7658,2904,57795,102500,115926
Goleta,Santa Barbara,30333,3864,33469,75766,92391
Gonzales,Monterey,8336,4349,19466,51178,43370
Good Hope,Riverside,8911,793,11960,34801,39135
Goodyears Bar,Sierra,23,11,[7],[7],[7]
Goshen,Tulare,3832,2155,10421,38162,34211
Graeagle,Plumas,546,49,36458,54688,68625
Grand Terrace,San Bernardino,12252,3499,29572,64140,78763
Grangeville,Kings,607,948,30119,50450,67125
Granite Bay,Placer,22646,1052,55636,118063,135583
Granite Hills,San Diego,3438,1231,48827,111684,126618
Graniteville,Nevada,0,0,[7],[7],[7]
Grass Valley,Nevada,12861,2712,23005,33325,40591
Graton,Sonoma,1626,1030,26548,37927,56250
Grayson,Stanislaus,888,348,14153,28068,35096
Greeley Hill,Mariposa,566,27,21738,30766,58646
Greenacres,Kern,4949,2587,30071,64052,69561
Green Acres,Riverside,2330,1664,14428,55417,55444
Greenfield,Kern,3974,2746,21522,51410,50625
Greenfield,Monterey,16715,7829,13567,52374,49544
Greenhorn,Plumas,182,27,52332,58023,48875
Green Valley,Los Angeles,1022,80,46357,93313,129531
Green Valley,Solano,1217,147,72511,77946,134766
Greenview,Siskiyou,183,141,8551,14193,14193
Greenville,Plumas,950,119,24222,30766,31944
Grenada,Siskiyou,421,816,19725,30750,36250
Gridley,Butte,6566,3172,16870,42542,47438
Grimes,Colusa,419,185,14078,40947,29750
Grizzly Flats,El Dorado,771,116,20361,56250,67981
Groveland,Tuolumne,725,76,16038,31932,33735
Grover Beach,San Luis Obispo,13337,5774,26781,49418,54955
Guadalupe,Santa Barbara,7160,5470,14903,45456,46420
Guerneville,Sonoma,3775,389,34303,42712,58269
Guinda,Yolo,599,206,13122,77596,78317
Gustine,Merced,5610,3617,20620,38173,47646
Hacienda Heights,Los Angeles,55179,4938,28614,76435,81135
Half Moon Bay,San Mateo,11803,1838,54270,103239,108700
Hamilton Branch,Plumas,634,584,29462,60268,63750
Hamilton City,Glenn,1718,5506,13338,32774,33547
Hanford,Kings,54523,3245,22307,53543,59543
Happy Camp,Siskiyou,1153,95,15357,25625,31458
Harbison Canyon,San Diego,4577,455,29795,81913,83098
Hardwick,Kings,184,1324,12236,18250,19000
Hartland,Tulare,0,0,[7],[7],[7]
Hartley,Solano,2458,380,42008,97100,103060
Hasley Canyon,Los Angeles,1296,226,41556,100972,96417
Hat Creek,Shasta,215,4,22517,36027,48558
Hawaiian Gardens,Los Angeles,14432,15224,13557,39073,38246
Hawthorne,Los Angeles,85889,14124,20445,44384,47091
Hayfork,Trinity,2372,33,18810,28287,46108
Hayward,Alameda,149596,3294,25770,62691,69415
Healdsburg,Sonoma,11466,2573,32461,58176,65375
Heber,Imperial,4256,2870,11565,35153,36097
Hemet,Riverside,81203,2916,18284,33932,41824
Herald,Sacramento,1221,155,36154,92045,92159
Hercules,Contra Costa,24596,3836,37978,100267,113447
Herlong,Lassen,1702,1046,6846,50781,44167
Hermosa Beach,Los Angeles,19725,13823,74730,105029,167750
Hesperia,San Bernardino,91757,1255,16584,44472,50027
Hickman,Stanislaus,479,445,20190,48000,57500
Hidden Hills,Los Angeles,1749,1036,126620,245694,[7]
Hidden Meadows,San Diego,3283,499,38942,61234,81875
Hidden Valley Lake,Lake,6168,634,24252,65706,67382
Highgrove,Riverside,4067,1263,16332,41087,46071
Highland,San Bernardino,54032,2881,21578,53385,57517
Highlands-Baywood Park,San Mateo,4298,2373,59656,135345,162235
Hillsborough,San Mateo,11148,1801,127868,[7],[7]
Hilmar-Irwin,Merced,5266,1341,27961,52775,55500
Hiouchi,Del Norte,413,712,26170,46083,71406
Hollister,San Benito,36067,4925,22516,66045,66363
Holtville,Imperial,6067,5285,14247,29628,32240
Home Garden,Kings,1787,4025,11708,32976,33631
Home Gardens,Riverside,11701,7520,15198,52704,51076
Homeland,Riverside,5921,1387,16804,36516,44667
Homestead Valley,San Bernardino,3366,99,15712,30527,31844
Homewood Canyon,Inyo,20,2,[7],[7],[7]
Honcut,Butte,145,34,24944,70064,[7]
Hood,Sacramento,311,987,20970,75556,78385
Hopland,Mendocino,587,167,21892,38750,67917
Hornbrook,Siskiyou,275,236,14389,27083,36406
Hornitos,Mariposa,56,48,[7],[7],[7]
Hughson,Stanislaus,6895,3489,21964,50109,57042
Humboldt Hill,Humboldt,3704,892,23598,48134,54657
Huntington Beach,Orange,195686,7265,42680,82554,97638
Huntington Park,Los Angeles,58787,19511,12088,34777,35367
Huron,Fresno,6777,4260,9968,28896,25859
Hyampom,Trinity,255,13,20368,29952,33672
Hydesville,Humboldt,1354,181,26257,56216,65875
Idlewild,Tulare,32,70,32731,[7],[7]
Idyllwild-Pine Cove,Riverside,2562,187,33070,60500,67056
Imperial,Imperial,15782,2695,24109,73683,74683
Imperial Beach,San Diego,26857,6455,19896,48117,54639
Independence,Inyo,681,140,26470,50625,71071
Indian Falls,Plumas,23,13,6722,[7],[7]
Indianola,Humboldt,889,630,25538,40769,50208
Indian Wells,Riverside,5089,355,81359,85000,108000
Indio,Riverside,82539,2692,20674,47922,54656
Indio Hills,Riverside,910,42,18471,37386,36705
Industry,Los Angeles,384,33,19617,51951,51890
Inglewood,Los Angeles,111133,12256,19837,42249,46449
Interlaken,Santa Cruz,6954,709,22324,70541,72222
Inverness,Marin,1368,214,52826,51850,91458
Inyokern,Kern,665,61,35933,51172,107411
Ione,Amador,7318,1593,13793,50617,77361
Iron Horse,Plumas,343,44,27161,97829,97829
Irvine,Orange,229850,3505,43456,91999,109956
Irwindale,Los Angeles,1530,173,18122,56625,60750
Isla Vista,Santa Barbara,24792,13401,8904,19237,38810
Isleton,Sacramento,792,1800,17200,30900,32273
Ivanhoe,Tulare,4044,2008,9915,32783,33656
Jackson,Amador,4616,1238,24618,41745,50150
Jacumba,San Diego,77,13,99860,[7],[7]
Jamestown,Tuolumne,3394,1134,22768,38488,29362
Jamul,San Diego,5445,328,39791,109492,113799
Janesville,Lassen,1474,112,30675,73617,73165
Jenner,Sonoma,109,52,45506,83750,80250
Johannesburg,Kern,79,33,14733,13906,[7]
Johnstonville,Lassen,1072,128,27946,67708,73654
Johnsville,Plumas,35,3,[7],[7],[7]
Joshua Tree,San Bernardino,7564,204,22792,38297,47226
Julian,San Diego,1345,172,31063,77050,75500
Junction City,Trinity,920,33,21224,37917,55625
June Lake,Mono,589,74,20604,50595,51518
Jurupa Valley,Riverside,97247,2265,18579,55898,59710
Keddie,Plumas,89,138,42799,83594,84010
Keeler,Inyo,80,61,10664,13824,14632
Keene,Kern,325,34,29119,65474,66379
Kelly Ridge,Butte,2594,1330,25509,38645,46338
Kelseyville,Lake,3516,1219,17378,37606,46000
Kennedy,San Joaquin,3487,2879,10334,37675,39550
Kennedy Meadows,Tulare,37,6,22359,14408,[7]
Kensington,Contra Costa,5351,5651,67369,136625,156179
Kentfield,Marin,6667,2204,109976,175573,246771
Kenwood,Sonoma,1075,208,75128,86719,103505
Kerman,Fresno,14110,4364,15199,45539,48822
Kernville,Kern,1354,110,31106,51731,61250
Keswick,Shasta,410,121,27618,60417,71250
Kettleman City,Kings,1648,7810,13434,41131,40060
Keyes,Stanislaus,6364,2250,13124,37421,40714
King City,Monterey,13171,3426,12770,40500,41087
Kings Beach,Placer,3384,984,20677,39639,44306
Kingsburg,Fresno,11582,4101,25921,60361,70305
Kingvale,Nevada,177,184,33515,63295,63295
,Placer,,,,,
Kirkwood,Alpine,98,23,13118,39375,[7]
,Amador,,,,,
Klamath,Del Norte,955,76,15828,30769,38173
Knightsen,Contra Costa,1644,197,29127,78672,80500
Knights Landing,Yolo,1161,2317,20478,45789,42596
La Cañada Flintridge,Los Angeles,20477,2373,71758,151786,169482
La Crescenta-Montrose,Los Angeles,20241,5908,38256,89737,109722
Ladera,San Mateo,1497,3283,95386,225391,[7]
Ladera Heights,Los Angeles,7362,2482,56573,100811,118456
Ladera Ranch,Orange,26010,5373,50478,131952,149125
Lafayette,Contra Costa,24685,1641,67896,138073,176250
Laguna Beach,Orange,23114,2599,79340,97881,138869
Laguna Hills,Orange,30768,4661,43958,91460,103304
Laguna Niguel,Orange,64299,4362,51750,98957,126029
Laguna Woods,Orange,16302,4874,37419,36708,54357
Lagunitas-Forest Knolls,Marin,2007,473,38092,79148,100335
La Habra,Orange,61341,8341,25646,61364,68954
La Habra Heights,Los Angeles,5398,876,51293,111250,113833
La Honda,San Mateo,741,174,48114,104479,162552
Lake Almanor Country Club,Plumas,530,193,67541,74286,89000
Lake Almanor Peninsula,Plumas,470,155,38839,59583,77000
Lake Almanor West,Plumas,263,115,75154,113819,113472
Lake Arrowhead,San Bernardino,11255,635,29997,64461,73135
Lake California,Tehama,2851,453,26009,52165,47414
Lake City,Modoc,35,6,18940,37750,[7]
Lake Davis,Plumas,45,8,16027,[7],[7]
Lake Don Pedro,Mariposa,995,79,37353,71970,86750
Lake Elsinore,Riverside,56243,1467,21016,63303,65855
Lake Forest,Orange,78940,4745,38760,92781,109426
Lakehead,Shasta,493,105,19697,31136,40500
Lake Hughes,Los Angeles,469,44,16426,21932,43000
Lake Isabella,Kern,3093,142,17300,22726,37232
Lakeland Village,Riverside,11343,1307,18725,41289,45028
Lake Los Angeles,Los Angeles,11948,1227,15918,40227,42426
Lake Mathews,Riverside,5518,347,27927,69011,71463
Lake Nacimiento,San Luis Obispo,2497,241,36293,68516,80357
Lake of the Pines,Nevada,3563,2383,38479,75403,84271
Lake of the Woods,Kern,539,153,24728,33750,34219
Lakeport,Lake,4746,1552,25590,36361,46941
Lake Riverside,Riverside,858,119,20839,61484,70156
Lake San Marcos,San Diego,4679,2719,30845,43125,67927
Lake Sherwood,Ventura,1526,483,120676,230000,[7]
Lakeside,San Diego,21079,3055,26236,62037,74608
Lakeview,Riverside,1723,529,16372,47383,54426
Lake Wildwood,Nevada,5293,1732,35366,65427,77969
Lakewood,Los Angeles,80926,8592,29981,79113,88660
La Mesa,San Diego,58239,6415,30728,54630,69955
La Mirada,Los Angeles,49038,6269,29467,81178,90696
Lamont,Kern,16359,3564,10475,33433,31278
Lanare,Fresno,398,197,10910,47875,47875
Lancaster,Los Angeles,159092,1687,19703,49057,54993
La Palma,Orange,15791,8856,33524,84026,90080
La Porte,Plumas,12,3,[7],[7],[7]
La Presa,San Diego,34739,6320,22135,60817,66449
La Puente,Los Angeles,40342,11596,15509,54660,55150
La Quinta,Riverside,38774,1104,39021,71074,80473
La Riviera,Sacramento,11529,6232,27789,58694,62952
Larkfield-Wikiup,Sonoma,8831,1664,37027,75230,83295
Larkspur,Marin,12131,4008,65707,82568,115363
La Selva Beach,Santa Cruz,2932,554,51592,108611,105833
Las Flores,Orange,6311,2843,49984,121696,140000
Las Flores,Tehama,154,430,11416,27763,43958
Las Lomas,Monterey,3409,3287,13409,68194,68352
Lathrop,San Joaquin,19163,874,18488,63087,64136
Laton,Fresno,1144,591,19300,29865,29625
La Verne,Los Angeles,31592,3748,34778,75662,95045
La Vina,Madera,436,4317,8407,31900,31900
Lawndale,Los Angeles,33155,16796,18145,48376,50507
Laytonville,Mendocino,1227,229,15235,31190,36458
Lebec,Kern,1333,87,17666,56324,55294
Lee Vining,Mono,234,45,9196,[7],[7]
Leggett,Mendocino,54,20,18922,43571,[7]
Le Grand,Merced,1823,1599,13865,38625,38571
Lemon Cove,Tulare,214,257,17693,34875,39444
Lemon Grove,San Diego,25963,6693,21915,52339,57052
Lemon Hill,Sacramento,12767,7847,12076,27101,27729
Lemoore,Kings,24788,2910,23836,52701,56775
Lemoore Station,Kings,6913,1644,19113,44632,44412
Lennox,Los Angeles,22039,20164,12057,36573,36126
Lenwood,San Bernardino,3153,1424,16243,42727,57232
Leona Valley,Los Angeles,1697,91,37427,77582,79891
Lewiston,Trinity,1480,74,24563,33929,43750
Lexington Hills,Santa Clara,2367,502,57392,125893,147188
Likely,Modoc,31,23,[7],[7],[7]
Lincoln,Placer,44397,2210,32182,70870,79017
Lincoln Village,San Joaquin,3996,5429,23073,55125,60521
Linda,Yuba,18634,2170,14131,36063,37872
Lindcove,Tulare,520,763,15402,45625,43750
Linden,San Joaquin,1948,263,38334,87585,83125
Lindsay,Tulare,12688,4861,10678,30198,30466
Linnell Camp,Tulare,561,4795,6902,20556,21278
Litchfield,Lassen,129,33,31985,49688,43068
Little Grass Valley,Plumas,0,0,[7],[7],[7]
Little River,Mendocino,38,23,24705,[7],[7]
Littlerock,Los Angeles,2040,1107,10711,39745,39676
Live Oak,Santa Cruz,17494,5394,31432,64957,82611
Live Oak,Sutter,8500,2724,16936,42349,46758
Livermore,Alameda,83901,3123,42594,99683,111950
Livingston,Merced,13461,3661,13604,50674,51912
Lockeford,San Joaquin,3172,380,25079,45698,47639
Lockwood,Monterey,389,36,36450,94615,75089
Lodi,San Joaquin,63158,4620,23648,48662,54740
Lodoga,Colusa,147,43,31301,50000,68333
Loleta,Humboldt,661,311,22226,41094,53750
Loma Linda,San Bernardino,23648,3146,31239,58259,68223
Loma Mar,San Mateo,211,122,32991,93810,117813
Loma Rica,Yuba,2537,137,27252,64615,68984
Lomita,Los Angeles,20539,10748,28593,57245,66541
Lompico,Santa Cruz,900,267,56476,72215,98500
Lompoc,Santa Barbara,43045,3713,20151,47908,51195
London,Tulare,2080,3307,8026,24816,25577
Lone Pine,Inyo,2017,106,21830,31838,39167
Long Barn,Tuolumne,291,101,20712,24388,[7]
Long Beach,Los Angeles,468594,9316,27014,52944,59710
Lookout,Modoc,67,13,17072,36635,[7]
Loomis,Placer,6589,907,33354,82813,95217
Los Alamitos,Orange,11598,2884,36367,82258,89271
Los Alamos,Santa Barbara,1166,301,36571,62429,60625
Los Altos,Santa Clara,29762,4597,84705,157500,190938
Los Altos Hills,Santa Clara,8244,924,123127,224271,[7]
Los Angeles,Los Angeles,3862210,8241,28320,49682,54171
Los Banos,Merced,36626,3665,17160,45665,46748
Los Berros,San Luis Obispo,908,362,19596,60958,61979
Los Gatos,Santa Clara,30163,2701,72050,122860,157796
Los Molinos,Tehama,2184,995,18205,36466,42990
Los Olivos,Santa Barbara,913,371,58133,89667,129875
Los Osos,San Luis Obispo,14778,1158,34229,56860,72625
Los Ranchos,San Luis Obispo,1676,592,47842,96705,111296
Lost Hills,Kern,2194,395,8418,31875,30125
Lower Lake,Lake,1620,607,17614,31781,54028
Loyalton,Sierra,874,2462,21614,43000,46375
Loyola,Santa Clara,3463,2400,98398,210882,238177
Lucas Valley-Marinwood,Marin,6168,1077,59579,129389,145491
Lucerne,Lake,3318,667,11901,20784,35571
Lucerne Valley,San Bernardino,5767,55,17984,34024,46383
Lynwood,Los Angeles,70789,14626,12580,41930,41332
Lytle Creek,San Bernardino,1127,187,26927,71000,81048
Mabie,Plumas,52,14,42662,[7],[7]
McArthur,Shasta,308,308,30152,42935,44348
McClellan Park,Sacramento,1103,273,13962,23977,24115
McClenney Tract,Tulare,6,10,7150,[7],[7]
McCloud,Siskiyou,1111,459,19429,31071,50888
Macdoel,Siskiyou,111,750,14183,28500,[7]
McFarland,Kern,12784,4792,9518,34750,33549
McGee Creek,Mono,125,31,93233,91860,[7]
McKinleyville,Humboldt,16448,791,25701,50298,60833
McKittrick,Kern,112,43,20728,43000,43500
McSwain,Merced,4531,750,35273,98519,106736
Madera,Madera,62559,3962,14460,42027,43600
Madera Acres,Madera,9653,1326,18180,60529,61056
Madison,Yolo,526,340,17946,51875,53393
Mad River,Trinity,398,12,19148,34907,46875
Magalia,Butte,11467,818,20818,39514,43457
Malaga,Fresno,935,3412,10696,38350,39800
Malibu,Los Angeles,12830,648,95212,130432,169241
Mammoth Lakes,Mono,8154,328,27170,60984,68750
Manchester,Mendocino,193,74,16462,29118,26691
Manhattan Beach,Los Angeles,35534,9026,81787,142071,177532
Manila,Humboldt,673,1029,22212,32997,51094
Manteca,San Joaquin,70693,3441,23806,62032,67043
Manton,Tehama,341,19,23833,31250,34750
March ARB,Riverside,1129,95,41980,68261,104013
Maricopa,Kern,1158,771,17853,33750,43646
Marina,Monterey,20198,2274,24773,53828,63477
Marina del Rey,Los Angeles,9157,10648,71023,101860,105762
Marin City,Marin,2958,5508,25543,39872,41917
Mariposa,Mariposa,1524,502,18842,34881,41422
Markleeville,Alpine,268,41,33723,70511,71591
Martell,Amador,94,40,28057,13508,[7]
Martinez,Contra Costa,36876,2920,39701,85736,100577
Marysville,Yuba,12144,3506,18146,34942,45274
Matheny,Tulare,1098,2565,14644,31208,31250
Mather,Sacramento,4806,479,30130,86705,88452
Maxwell,Colusa,1076,501,19794,44625,55833
Mayfair,Fresno,4512,8710,14620,40625,47278
Mayflower Village,Los Angeles,5779,8412,30295,72034,83885
Maywood,Los Angeles,27703,23517,11656,36492,37342
Meadowbrook,Riverside,3447,503,13817,34815,36964
Meadow Valley,Plumas,435,51,33823,51944,85500
Meadow Vista,Placer,3072,582,37474,71007,87026
Mead Valley,Riverside,19851,1034,14010,41962,44475
Mecca,Riverside,8912,1281,8504,26473,27265
Meiners Oaks,Ventura,3634,2581,29168,70430,81154
Mendocino,Mendocino,826,366,42196,51917,104732
Mendota,Fresno,11360,3447,8642,25229,26250
Menifee,Riverside,81658,1757,23165,56671,64431
Menlo Park,San Mateo,32792,3355,69802,115650,156439
Mentone,San Bernardino,9388,1524,23376,55682,62476
Merced,Merced,80490,3466,17623,38917,43809
Meridian,Sutter,438,83,28966,50000,82692
Mesa,Inyo,442,126,37789,82266,97500
Mesa Verde,Riverside,1004,231,13468,37891,34583
Mesa Vista,Alpine,212,44,25200,61364,79063
Mettler,Kern,88,378,15591,42917,51250
Mexican Colony,Kern,216,6750,7247,17375,15500
Middletown,Lake,1073,582,29725,48965,100625
Midpines,Mariposa,689,28,36067,41063,40469
Midway City,Orange,9104,15023,18658,45581,51882
Milford,Lassen,116,22,42773,64961,64961
Millbrae,San Mateo,22177,6824,43518,91846,106051
Mill Valley,Marin,14178,2977,87627,132192,167061
Millville,Shasta,861,107,26947,59375,66818
Milpitas,Santa Clara,69346,5106,34237,99072,102005
Mineral,Tehama,222,5,32623,52500,70000
Minkler,Fresno,1066,182,36435,81339,128482
Mira Monte,Ventura,7306,1599,39022,70905,96250
Miranda,Humboldt,536,359,30378,50144,36250
Mission Canyon,Santa Barbara,2531,1668,56986,112717,128438
Mission Hills,Santa Barbara,3415,2779,36137,81250,84119
Mission Viejo,Orange,95246,5403,41513,98157,110723
Mi-Wuk Village,Tuolumne,1069,385,26306,49458,63036
Modesto,Stanislaus,205984,4620,23034,47607,55289
Mohawk Vista,Plumas,109,9,75039,58500,[7]
Mojave,Kern,4172,72,15847,34500,40484
Mokelumne Hill,Calaveras,635,206,39304,62396,80250
Monmouth,Fresno,184,597,15705,34500,44861
Mono City,Mono,67,12,11106,31500,[7]
Mono Vista,Tuolumne,1979,698,24568,46250,49412
Monrovia,Los Angeles,37035,2722,34668,72034,86034
Monson,Tulare,191,388,14281,41667,83083
Montague,Siskiyou,1504,846,20433,42500,54545
Montalvin Manor,Contra Costa,3055,9488,22652,64778,73864
Montara,San Mateo,2880,743,49203,147568,148273
Montclair,San Bernardino,37685,6831,17881,48767,51184
Montebello,Los Angeles,63353,7603,20972,47562,55720
Montecito,Santa Barbara,9444,1011,83226,130129,160417
Monterey,Monterey,28053,3228,36812,64772,80615
Monterey Park,Los Angeles,60966,7951,24637,54821,60209
Monterey Park Tract,Stanislaus,273,5809,13645,90134,[7]
Monte Rio,Sonoma,1031,542,27032,33681,63854
Monte Sereno,Santa Clara,3462,2117,105597,187115,238606
Montgomery Creek,Shasta,123,38,27628,62708,62917
Monument Hills,Yolo,1469,365,47489,112344,112422
Moorpark,Ventura,35033,2785,37016,99353,108628
Morada,San Joaquin,4573,1534,35079,61270,71534
Moraga,Contra Costa,16549,1748,60576,132651,163951
Moreno Valley,Riverside,198872,3879,17874,54229,55265
Morgan Hill,Santa Clara,39875,3128,40972,96232,108037
Morongo Valley,San Bernardino,3605,143,21607,32295,44787
Morro Bay,San Luis Obispo,10383,1958,32613,50914,66378
Moskowite Corner,Napa,172,61,20858,49286,53750
Moss Beach,San Mateo,3435,1531,42240,81622,107083
Moss Landing,Monterey,200,503,17855,30500,37857
Mountain Center,Riverside,75,40,10727,[7],[7]
Mountain Gate,Shasta,1153,583,18037,33906,53750
Mountain House,San Joaquin,12088,3786,29092,106119,108750
Mountain Mesa,Kern,454,546,18583,38250,39313
Mountain Ranch,Calaveras,1369,33,27714,38630,57243
Mountain View,Contra Costa,2299,7928,27903,43077,38400
Mountain View,Santa Clara,76741,6399,56156,100028,119081
Mountain View Acres,San Bernardino,3502,2229,18119,55673,56521
Mount Hebron,Siskiyou,88,123,9728,25368,26397
Mount Hermon,Santa Cruz,1027,1575,31268,48549,65893
Mount Laguna,San Diego,12,7,[7],[7],[7]
Mount Shasta,Siskiyou,3331,885,31179,43969,66667
Muir Beach,Marin,292,592,86269,161458,178333
Murphys,Calaveras,1884,183,35424,46885,62330
Murrieta,Riverside,106326,3166,28719,74401,79996
Muscoy,San Bernardino,11674,3714,9951,35660,37012
Myers Flat,Humboldt,57,132,[7],[7],[7]
Myrtletown,Humboldt,5225,2489,28725,61534,73558
Napa,Napa,78511,4397,31185,64058,74981
National City,San Diego,59543,8180,17143,39517,42531
Needles,San Bernardino,4923,160,19001,33045,42031
Nevada City,Nevada,3051,1394,35087,51685,51997
Newark,Alameda,43635,3145,31825,86521,91103
Newcastle,Placer,1409,589,26616,45865,71912
New Cuyama,Santa Barbara,591,837,14149,34000,45625
Newell,Modoc,429,178,6580,23182,23466
Newman,Stanislaus,10553,5240,16012,43722,46780
New Pine Creek,Modoc,84,37,35398,31023,[7]
Newport Beach,Orange,86594,3642,78012,107991,153709
Nicasio,Marin,95,73,39938,96500,96000
Nice,Lake,2156,1248,20164,24149,36325
Nicolaus,Sutter,205,65,50181,85625,100417
Niland,Imperial,1063,2644,15828,17461,27854
Nipinnawasee,Madera,729,236,23511,66397,66544
Nipomo,San Luis Obispo,17115,1152,27705,57185,68900
Norco,Riverside,27143,1970,27702,85142,96631
Nord,Butte,239,114,18961,31923,76250
Norris Canyon,Contra Costa,1227,347,59374,196726,205625
North Auburn,Placer,14011,1794,25077,48052,60637
North Edwards,Kern,966,76,21833,45658,53241
North El Monte,Los Angeles,3924,9277,28164,69960,75426
North Fair Oaks,San Mateo,15181,12651,26426,63343,53176
North Gate,Contra Costa,417,634,52891,96333,96250
North Highlands,Sacramento,44899,5088,17401,40986,43243
North Lakeport,Lake,2676,696,28998,52577,60625
North Richmond,Contra Costa,3926,2788,16194,35288,45703
North San Juan,Nevada,281,116,14102,27417,28250
North Shore,Riverside,3184,285,9434,24853,30147
North Tustin,Orange,25724,3891,59863,123270,140609
Norwalk,Los Angeles,106455,10965,19584,60523,63688
Novato,Marin,53451,1948,44724,76609,97081
Nubieber,Lassen,15,20,19160,[7],[7]
Nuevo,Riverside,7345,1085,19329,59464,64185
Oakdale,Stanislaus,21260,3517,24832,53785,60861
Oak Glen,San Bernardino,694,47,24589,66923,73750
Oak Hills,San Bernardino,10308,423,26761,74257,82961
Oakhurst,Madera,2482,414,21563,39709,46484
Oakland,Alameda,402339,7198,32566,52962,60472
Oakley,Contra Costa,37391,2356,27993,78597,83803
Oak Park,Ventura,14512,2743,57470,117326,134178
Oak Shores,San Luis Obispo,147,29,61129,81964,86364
Oak View,Ventura,4347,2216,32723,72137,79375
Oakville,Napa,59,43,9415,[7],[7]
Oasis,Riverside,5807,296,7512,24293,24148
Occidental,Sonoma,1155,233,54705,70172,86083
Oceano,San Luis Obispo,7355,4801,20725,48629,46545
Oceanside,San Diego,171400,4155,27009,58385,68203
Ocotillo,Imperial,221,25,6672,21397,[7]
Oildale,Kern,33879,5186,17773,33818,35843
Ojai,Ventura,7558,1738,35231,60714,90000
Olancha,Inyo,287,37,26673,41974,94583
Old Fig Garden,Fresno,5186,3139,41348,63358,78060
Old Station,Shasta,52,23,15327,[7],[7]
Olivehurst,Yuba,13928,1867,15357,43044,44394
Ontario,San Bernardino,166892,3342,18601,54156,56017
Onyx,Kern,599,52,16946,27991,29330
Orange,Orange,138980,5481,31330,77086,85123
Orange Cove,Fresno,9473,5286,9734,27450,27868
Orangevale,Sacramento,34449,2991,31241,65288,80068
Orcutt,Santa Barbara,30266,2721,32246,71830,81016
Orick,Humboldt,281,59,34279,32656,49583
Orinda,Contra Costa,18390,1431,84985,166866,213021
Orland,Glenn,7451,2557,16179,38425,45858
Orosi,Tulare,8620,3524,10342,34464,33819
Oroville,Butte,16015,1210,18777,36581,42551
Oroville East,Butte,8782,400,24851,52944,67920
Oxnard,Ventura,201744,7500,20651,62349,62165
Pacheco,Contra Costa,4295,5796,30011,48024,53083
Pacifica,San Mateo,38283,3024,44886,96875,113750
Pacific Grove,Monterey,15365,5376,46690,70230,93302
Pajaro,Monterey,2957,3190,8779,29179,29643
Pajaro Dunes,Santa Cruz,269,105,59635,67250,67000
Palermo,Butte,5419,186,21349,42371,55612
Palmdale,Los Angeles,155810,1470,19438,54921,56351
Palm Desert,Riverside,49953,1863,39275,52053,68893
Palm Springs,Riverside,45827,487,36126,45497,55320
Palo Alto,Santa Clara,65998,2765,75257,126771,167440
Palo Cedro,Shasta,1626,442,35654,81000,84643
Palos Verdes Estates,Los Angeles,13568,2842,87408,171328,203241
Palo Verde,Imperial,17,29,[7],[7],[7]
Panorama Heights,Tulare,38,80,22153,22500,41250
Paradise,Butte,26246,1433,24573,41482,56119
Paradise,Mono,235,54,35874,48864,80000
Paradise Park,Santa Cruz,542,1943,39762,62125,66875
Paramount,Los Angeles,54813,11588,14168,43784,43997
Parklawn,Stanislaus,1191,7175,13110,42105,43606
Parksdale,Madera,3114,1720,8111,30069,29604
Parkway,Sacramento,14756,6103,15622,33959,34570
Parkwood,Madera,2879,4125,10280,31908,27438
Parlier,Fresno,14750,6452,11039,31832,30729
Pasadena,Los Angeles,139065,6051,41268,70845,88600
Pasatiempo,Santa Cruz,1016,1149,98473,175536,183457
Paskenta,Tehama,52,48,15448,36250,42750
Patterson,Stanislaus,20736,3483,18774,54422,58184
Patterson Tract,Tulare,2041,1412,15433,37688,39500
Patton Village,Lassen,592,178,26548,46477,47386
Paxton,Plumas,0,0,[7],[7],[7]
Paynes Creek,Tehama,41,12,28341,44375,93125
Pearsonville,Inyo,23,6,26096,[7],[7]
Penngrove,Sonoma,2928,728,49672,73430,104271
Penn Valley,Nevada,1599,754,20243,43750,58553
Penryn,Placer,946,518,37080,80213,78315
Perris,Riverside,71377,2274,13516,48591,48265
Pescadero,San Mateo,1046,260,24750,61161,57656
Petaluma,Sonoma,58912,4096,35239,80590,89400
Peters,San Joaquin,523,207,56941,116616,117195
Phelan,San Bernardino,12947,215,22355,53093,59804
Phillipsville,Humboldt,77,108,27396,23860,[7]
Philo,Mendocino,317,156,11234,16667,29333
Phoenix Lake,Tuolumne,4712,428,34735,75434,92652
Pico Rivera,Los Angeles,63698,7678,18643,56576,62987
Piedmont,Alameda,10957,6445,101794,212222,247171
Pierpoint,Tulare,23,56,[7],[7],[7]
Pike,Sierra,126,29,23885,35714,35000
Pine Canyon,Monterey,2243,672,26633,46683,47043
Pine Flat,Tulare,130,112,26923,30625,62143
Pine Grove,Amador,1865,268,30314,48571,64375
Pine Hills,Humboldt,3160,312,32080,52438,56406
Pine Mountain Club,Kern,1890,112,34312,45911,57872
Pine Mountain Lake,Tuolumne,2422,128,31321,51604,59848
Pine Valley,San Diego,1554,217,35479,100085,100557
Pinole,Contra Costa,18754,3642,34219,74379,82679
Piñon Hills,San Bernardino,6654,207,25501,42210,57723
Pioneer,Amador,1237,287,35596,42614,75104
Piru,Ventura,2078,737,17001,46601,47281
Pismo Beach,San Luis Obispo,7789,2164,37657,67500,88041
